Service,Event Names,Description
elasticbeanstalk,SwapEnvironmentCNAMEs,
elasticbeanstalk,TerminateEnvironment,<p>Terminates the specified environment.</p>
elasticbeanstalk,UpdateApplication,"<p>Updates the specified application to have the specified properties.</p> <note> <p>If a property (for example, <code>description</code>) is not provided, the value remains unchanged. To clear these properties, specify an empty string.</p> </note>"
elasticbeanstalk,UpdateApplicationResourceLifecycle,<p>Modifies lifecycle settings for an application.</p>
elasticbeanstalk,UpdateApplicationVersion,"<p>Updates the specified application version to have the specified properties.</p> <note> <p>If a property (for example, <code>description</code>) is not provided, the value remains unchanged. To clear properties, specify an empty string.</p> </note>"
elasticbeanstalk,UpdateConfigurationTemplate,"<p>Updates the specified configuration template to have the specified properties or configuration option values.</p> <note> <p>If a property (for example, <code>ApplicationName</code>) is not provided, its value remains unchanged. To clear such properties, specify an empty string.</p> </note> <p>Related Topics</p> <ul> <li> <p> <a>DescribeConfigurationOptions</a> </p> </li> </ul>"
elasticbeanstalk,UpdateEnvironment,"<p>Updates the environment description, deploys a new application version, updates the configuration settings to an entirely new configuration template, or updates select configuration option values in the running environment.</p> <p> Attempting to update both the release and configuration is not allowed and AWS Elastic Beanstalk returns an <code>InvalidParameterCombination</code> error. </p> <p> When updating the configuration settings to a new template or individual settings, a draft configuration is created and <a>DescribeConfigurationSettings</a> for this environment returns two setting descriptions with different <code>DeploymentStatus</code> values. </p>"
elasticbeanstalk,UpdateTagsForResource,
elastictranscoder,CancelJob,"<p>The CancelJob operation cancels an unfinished job.</p> <note> <p>You can only cancel a job that has a status of <code>Submitted</code>. To prevent a pipeline from starting to process a job while you're getting the job identifier, use <a>UpdatePipelineStatus</a> to temporarily pause the pipeline.</p> </note>"
elastictranscoder,CreateJob,"<p>When you create a job, Elastic Transcoder returns JSON data that includes the values that you specified plus information about the job that is created.</p> <p>If you have specified more than one output for your jobs (for example, one output for the Kindle Fire and another output for the Apple iPhone 4s), you currently must use the Elastic Transcoder API to list the jobs (as opposed to the AWS Console).</p>"
elastictranscoder,CreatePipeline,<p>The CreatePipeline operation creates a pipeline with settings that you specify.</p>
elastictranscoder,CreatePreset,"<p>The CreatePreset operation creates a preset with settings that you specify.</p> <important> <p>Elastic Transcoder checks the CreatePreset settings to ensure that they meet Elastic Transcoder requirements and to determine whether they comply with H.264 standards. If your settings are not valid for Elastic Transcoder, Elastic Transcoder returns an HTTP 400 response (<code>ValidationException</code>) and does not create the preset. If the settings are valid for Elastic Transcoder but aren't strictly compliant with the H.264 standard, Elastic Transcoder creates the preset and returns a warning message in the response. This helps you determine whether your settings comply with the H.264 standard while giving you greater flexibility with respect to the video that Elastic Transcoder produces.</p> </important> <p>Elastic Transcoder uses the H.264 video-compression format. For more information, see the International Telecommunication Union publication <i>Recommendation ITU-T H.264: Advanced video coding for generic audiovisual services</i>.</p>"
elastictranscoder,DeletePipeline,"<p>The DeletePipeline operation removes a pipeline.</p> <p> You can only delete a pipeline that has never been used or that is not currently in use (doesn't contain any active jobs). If the pipeline is currently in use, <code>DeletePipeline</code> returns an error. </p>"
elastictranscoder,DeletePreset,<p>The DeletePreset operation removes a preset that you've added in an AWS region.</p> <note> <p>You can't delete the default presets that are included with Elastic Transcoder.</p> </note>
elastictranscoder,ListJobsByPipeline,<p>The ListJobsByPipeline operation gets a list of the jobs currently in a pipeline.</p> <p>Elastic Transcoder returns all of the jobs currently in the specified pipeline. The response body contains one element for each job that satisfies the search criteria.</p>
elastictranscoder,ListJobsByStatus,<p>The ListJobsByStatus operation gets a list of jobs that have a specified status. The response body contains one element for each job that satisfies the search criteria.</p>
elastictranscoder,ListPipelines,<p>The ListPipelines operation gets a list of the pipelines associated with the current AWS account.</p>
elastictranscoder,ListPresets,<p>The ListPresets operation gets a list of the default presets included with Elastic Transcoder and the presets that you've added in an AWS region.</p>
elastictranscoder,ReadJob,<p>The ReadJob operation returns detailed information about a job.</p>
elastictranscoder,ReadPipeline,<p>The ReadPipeline operation gets detailed information about a pipeline.</p>
elastictranscoder,ReadPreset,<p>The ReadPreset operation gets detailed information about a preset.</p>
elastictranscoder,TestRole,"<p>The TestRole operation tests the IAM role used to create the pipeline.</p> <p>The <code>TestRole</code> action lets you determine whether the IAM role you are using has sufficient permissions to let Elastic Transcoder perform tasks associated with the transcoding process. The action attempts to assume the specified IAM role, checks read access to the input and output buckets, and tries to send a test notification to Amazon SNS topics that you specify.</p>"
elastictranscoder,UpdatePipeline,"<p> Use the <code>UpdatePipeline</code> operation to update settings for a pipeline.</p> <important> <p>When you change pipeline settings, your changes take effect immediately. Jobs that you have already submitted and that Elastic Transcoder has not started to process are affected in addition to jobs that you submit after you change settings. </p> </important>"
elastictranscoder,UpdatePipelineNotifications,"<p>With the UpdatePipelineNotifications operation, you can update Amazon Simple Notification Service (Amazon SNS) notifications for a pipeline.</p> <p>When you update notifications for a pipeline, Elastic Transcoder returns the values that you specified in the request.</p>"
elb,AddTags,"<p>Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags.</p> <p>Each tag consists of a key and an optional value. If a tag with the same key is already associated with the load balancer, <code>AddTags</code> updates its value.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/add-remove-tags.html"">Tag Your Classic Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,ApplySecurityGroupsToLoadBalancer,"<p>Associates one or more security groups with your load balancer in a virtual private cloud (VPC). The specified security groups override the previously associated security groups.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-security-groups.html#elb-vpc-security-groups"">Security Groups for Load Balancers in a VPC</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,AttachLoadBalancerToSubnets,"<p>Adds one or more subnets to the set of configured subnets for the specified load balancer.</p> <p>The load balancer evenly distributes requests across all registered subnets. For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-manage-subnets.html"">Add or Remove Subnets for Your Load Balancer in a VPC</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,ConfigureHealthCheck,"<p>Specifies the health check settings to use when evaluating the health state of your EC2 instances.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-healthchecks.html"">Configure Health Checks for Your Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,CreateAppCookieStickinessPolicy,"<p>Generates a stickiness policy with sticky session lifetimes that follow that of an application-generated cookie. This policy can be associated only with HTTP/HTTPS listeners.</p> <p>This policy is similar to the policy created by <a>CreateLBCookieStickinessPolicy</a>, except that the lifetime of the special Elastic Load Balancing cookie, <code>AWSELB</code>, follows the lifetime of the application-generated cookie specified in the policy configuration. The load balancer only inserts a new stickiness cookie when the application response includes a new application cookie.</p> <p>If the application cookie is explicitly removed or expires, the session stops being sticky until a new application cookie is issued.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-sticky-sessions.html#enable-sticky-sessions-application"">Application-Controlled Session Stickiness</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,CreateLBCookieStickinessPolicy,"<p>Generates a stickiness policy with sticky session lifetimes controlled by the lifetime of the browser (user-agent) or a specified expiration period. This policy can be associated only with HTTP/HTTPS listeners.</p> <p>When a load balancer implements this policy, the load balancer uses a special cookie to track the instance for each request. When the load balancer receives a request, it first checks to see if this cookie is present in the request. If so, the load balancer sends the request to the application server specified in the cookie. If not, the load balancer sends the request to a server that is chosen based on the existing load-balancing algorithm.</p> <p>A cookie is inserted into the response for binding subsequent requests from the same user to that server. The validity of the cookie is based on the cookie expiration time, which is specified in the policy configuration.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-sticky-sessions.html#enable-sticky-sessions-duration"">Duration-Based Session Stickiness</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,CreateLoadBalancer,"<p>Creates a Classic Load Balancer.</p> <p>You can add listeners, security groups, subnets, and tags when you create your load balancer, or you can add them later using <a>CreateLoadBalancerListeners</a>, <a>ApplySecurityGroupsToLoadBalancer</a>, <a>AttachLoadBalancerToSubnets</a>, and <a>AddTags</a>.</p> <p>To describe your current load balancers, see <a>DescribeLoadBalancers</a>. When you are finished with a load balancer, you can delete it using <a>DeleteLoadBalancer</a>.</p> <p>You can create up to 20 load balancers per region per account. You can request an increase for the number of load balancers for your account. For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-limits.html"">Limits for Your Classic Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,CreateLoadBalancerListeners,"<p>Creates one or more listeners for the specified load balancer. If a listener with the specified port does not already exist, it is created; otherwise, the properties of the new listener must match the properties of the existing listener.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-listener-config.html"">Listeners for Your Classic Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,CreateLoadBalancerPolicy,"<p>Creates a policy with the specified attributes for the specified load balancer.</p> <p>Policies are settings that are saved for your load balancer and that can be applied to the listener or the application server, depending on the policy type.</p>"
elb,DeleteLoadBalancer,"<p>Deletes the specified load balancer.</p> <p>If you are attempting to recreate a load balancer, you must reconfigure all settings. The DNS name associated with a deleted load balancer are no longer usable. The name and associated DNS record of the deleted load balancer no longer exist and traffic sent to any of its IP addresses is no longer delivered to your instances.</p> <p>If the load balancer does not exist or has already been deleted, the call to <code>DeleteLoadBalancer</code> still succeeds.</p>"
elb,DeleteLoadBalancerListeners,<p>Deletes the specified listeners from the specified load balancer.</p>
elb,DeleteLoadBalancerPolicy,<p>Deletes the specified policy from the specified load balancer. This policy must not be enabled for any listeners.</p>
elb,DeregisterInstancesFromLoadBalancer,"<p>Deregisters the specified instances from the specified load balancer. After the instance is deregistered, it no longer receives traffic from the load balancer.</p> <p>You can use <a>DescribeLoadBalancers</a> to verify that the instance is deregistered from the load balancer.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-deregister-register-instances.html"">Register or De-Register EC2 Instances</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,DescribeAccountLimits,"<p>Describes the current Elastic Load Balancing resource limits for your AWS account.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-limits.html"">Limits for Your Classic Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,DescribeInstanceHealth,"<p>Describes the state of the specified instances with respect to the specified load balancer. If no instances are specified, the call describes the state of all instances that are currently registered with the load balancer. If instances are specified, their state is returned even if they are no longer registered with the load balancer. The state of terminated instances is not returned.</p>"
elb,DescribeLoadBalancerAttributes,<p>Describes the attributes for the specified load balancer.</p>
elb,DescribeLoadBalancerPolicies,"<p>Describes the specified policies.</p> <p>If you specify a load balancer name, the action returns the descriptions of all policies created for the load balancer. If you specify a policy name associated with your load balancer, the action returns the description of that policy. If you don't specify a load balancer name, the action returns descriptions of the specified sample policies, or descriptions of all sample policies. The names of the sample policies have the <code>ELBSample-</code> prefix.</p>"
elb,DescribeLoadBalancerPolicyTypes,"<p>Describes the specified load balancer policy types or all load balancer policy types.</p> <p>The description of each type indicates how it can be used. For example, some policies can be used only with layer 7 listeners, some policies can be used only with layer 4 listeners, and some policies can be used only with your EC2 instances.</p> <p>You can use <a>CreateLoadBalancerPolicy</a> to create a policy configuration for any of these policy types. Then, depending on the policy type, use either <a>SetLoadBalancerPoliciesOfListener</a> or <a>SetLoadBalancerPoliciesForBackendServer</a> to set the policy.</p>"
elb,DescribeLoadBalancers,"<p>Describes the specified the load balancers. If no load balancers are specified, the call describes all of your load balancers.</p>"
elb,DescribeTags,<p>Describes the tags associated with the specified load balancers.</p>
elb,DetachLoadBalancerFromSubnets,"<p>Removes the specified subnets from the set of configured subnets for the load balancer.</p> <p>After a subnet is removed, all EC2 instances registered with the load balancer in the removed subnet go into the <code>OutOfService</code> state. Then, the load balancer balances the traffic among the remaining routable subnets.</p>"
elb,DisableAvailabilityZonesForLoadBalancer,"<p>Removes the specified Availability Zones from the set of Availability Zones for the specified load balancer in EC2-Classic or a default VPC.</p> <p>For load balancers in a non-default VPC, use <a>DetachLoadBalancerFromSubnets</a>.</p> <p>There must be at least one Availability Zone registered with a load balancer at all times. After an Availability Zone is removed, all instances registered with the load balancer that are in the removed Availability Zone go into the <code>OutOfService</code> state. Then, the load balancer attempts to equally balance the traffic among its remaining Availability Zones.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/enable-disable-az.html"">Add or Remove Availability Zones</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,EnableAvailabilityZonesForLoadBalancer,"<p>Adds the specified Availability Zones to the set of Availability Zones for the specified load balancer in EC2-Classic or a default VPC.</p> <p>For load balancers in a non-default VPC, use <a>AttachLoadBalancerToSubnets</a>.</p> <p>The load balancer evenly distributes requests across all its registered Availability Zones that contain instances. For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/enable-disable-az.html"">Add or Remove Availability Zones</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,ModifyLoadBalancerAttributes,"<p>Modifies the attributes of the specified load balancer.</p> <p>You can modify the load balancer attributes, such as <code>AccessLogs</code>, <code>ConnectionDraining</code>, and <code>CrossZoneLoadBalancing</code> by either enabling or disabling them. Or, you can modify the load balancer attribute <code>ConnectionSettings</code> by specifying an idle connection timeout value for your load balancer.</p> <p>For more information, see the following in the <i>Classic Load Balancers Guide</i>:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/enable-disable-crosszone-lb.html"">Cross-Zone Load Balancing</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/config-conn-drain.html"">Connection Draining</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/access-log-collection.html"">Access Logs</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/config-idle-timeout.html"">Idle Connection Timeout</a> </p> </li> </ul>"""
elb,RegisterInstancesWithLoadBalancer,"<p>Adds the specified instances to the specified load balancer.</p> <p>The instance must be a running instance in the same network as the load balancer (EC2-Classic or the same VPC). If you have EC2-Classic instances and a load balancer in a VPC with ClassicLink enabled, you can link the EC2-Classic instances to that VPC and then register the linked EC2-Classic instances with the load balancer in the VPC.</p> <p>Note that <code>RegisterInstanceWithLoadBalancer</code> completes when the request has been registered. Instance registration takes a little time to complete. To check the state of the registered instances, use <a>DescribeLoadBalancers</a> or <a>DescribeInstanceHealth</a>.</p> <p>After the instance is registered, it starts receiving traffic and requests from the load balancer. Any instance that is not in one of the Availability Zones registered for the load balancer is moved to the <code>OutOfService</code> state. If an Availability Zone is added to the load balancer later, any instances registered with the load balancer move to the <code>InService</code> state.</p> <p>To deregister instances from a load balancer, use <a>DeregisterInstancesFromLoadBalancer</a>.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-deregister-register-instances.html"">Register or De-Register EC2 Instances</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,RemoveTags,<p>Removes one or more tags from the specified load balancer.</p>
elb,SetLoadBalancerListenerSSLCertificate,"<p>Sets the certificate that terminates the specified listener's SSL connections. The specified certificate replaces any prior certificate that was used on the same load balancer and port.</p> <p>For more information about updating your SSL certificate, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-update-ssl-cert.html"">Replace the SSL Certificate for Your Load Balancer</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elb,SetLoadBalancerPoliciesForBackendServer,"<p>Replaces the set of policies associated with the specified port on which the EC2 instance is listening with a new set of policies. At this time, only the back-end server authentication policy type can be applied to the instance ports; this policy type is composed of multiple public key policies.</p> <p>Each time you use <code>SetLoadBalancerPoliciesForBackendServer</code> to enable the policies, use the <code>PolicyNames</code> parameter to list the policies that you want to enable.</p> <p>You can use <a>DescribeLoadBalancers</a> or <a>DescribeLoadBalancerPolicies</a> to verify that the policy is associated with the EC2 instance.</p> <p>For more information about enabling back-end instance authentication, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-create-https-ssl-load-balancer.html#configure_backendauth_clt"">Configure Back-end Instance Authentication</a> in the <i>Classic Load Balancers Guide</i>. For more information about Proxy Protocol  see <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/enable-proxy-protocol.html"">Configure Proxy Protocol Support</a> in the <i>Classic Load Balancers Guide</i>.</p>"""
elbv2,AddListenerCertificates,"<p>Adds the specified SSL server certificate to the certificate list for the specified HTTPS or TLS listener.</p> <p>If the certificate in already in the certificate list, the call is successful but the certificate is not added again.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html"">HTTPS listeners</a> in the <i>Application Load Balancers Guide</i> or <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/create-tls-listener.html"">TLS listeners</a> in the <i>Network Load Balancers Guide</i>.</p>"""
elbv2,AddTags,"<p>Adds the specified tags to the specified Elastic Load Balancing resource. You can tag your Application Load Balancers, Network Load Balancers, Gateway Load Balancers, target groups, listeners, and rules.</p> <p>Each tag consists of a key and an optional value. If a resource already has a tag with the same key, <code>AddTags</code> updates its value.</p>"
elbv2,CreateListener,"<p>Creates a listener for the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-listeners.html"">Listeners for your Application Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-listeners.html"">Listeners for your Network Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/gateway-listeners.html"">Listeners for your Gateway Load Balancers</a> </p> </li> </ul> <p>This operation is idempotent  which means that it completes at most one time. If you attempt to create multiple listeners with the same settings  each call succeeds.</p>"""
elbv2,CreateLoadBalancer,"<p>Creates an Application Load Balancer, Network Load Balancer, or Gateway Load Balancer.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html"">Application Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/network-load-balancers.html"">Network Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/gateway-load-balancers.html"">Gateway Load Balancers</a> </p> </li> </ul> <p>This operation is idempotent  which means that it completes at most one time. If you attempt to create multiple load balancers with the same settings  each call succeeds.</p>"""
elbv2,CreateRule,"<p>Creates a rule for the specified listener. The listener must be associated with an Application Load Balancer.</p> <p>Each rule consists of a priority, one or more actions, and one or more conditions. Rules are evaluated in priority order, from the lowest value to the highest value. When the conditions for a rule are met, its actions are performed. If the conditions for no rules are met, the actions for the default rule are performed. For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-listeners.html#listener-rules"">Listener rules</a> in the <i>Application Load Balancers Guide</i>.</p>"""
elbv2,CreateTargetGroup,"<p>Creates a target group.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html"">Target groups for your Application Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-target-groups.html"">Target groups for your Network Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/target-groups.html"">Target groups for your Gateway Load Balancers</a> </p> </li> </ul> <p>This operation is idempotent  which means that it completes at most one time. If you attempt to create multiple target groups with the same settings  each call succeeds.</p>"""
elbv2,DeleteListener,"<p>Deletes the specified listener.</p> <p>Alternatively, your listener is deleted when you delete the load balancer to which it is attached.</p>"
elbv2,DeleteLoadBalancer,"<p>Deletes the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer. Deleting a load balancer also deletes its listeners.</p> <p>You can't delete a load balancer if deletion protection is enabled. If the load balancer does not exist or has already been deleted, the call succeeds.</p> <p>Deleting a load balancer does not affect its registered targets. For example, your EC2 instances continue to run and are still registered to their target groups. If you no longer need these EC2 instances, you can stop or terminate them.</p>"
elbv2,DeleteRule,<p>Deletes the specified rule.</p> <p>You can't delete the default rule.</p>
elbv2,DeleteTargetGroup,"<p>Deletes the specified target group.</p> <p>You can delete a target group if it is not referenced by any actions. Deleting a target group also deletes any associated health checks. Deleting a target group does not affect its registered targets. For example, any EC2 instances continue to run until you stop or terminate them.</p>"
elbv2,DeregisterTargets,"<p>Deregisters the specified targets from the specified target group. After the targets are deregistered, they no longer receive traffic from the load balancer.</p>"
elbv2,DescribeAccountLimits,"<p>Describes the current Elastic Load Balancing resource limits for your Amazon Web Services account.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-limits.html"">Quotas for your Application Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-limits.html"">Quotas for your Network Load Balancers</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/quotas-limits.html"">Quotas for your Gateway Load Balancers</a> </p> </li> </ul>"""
elbv2,DescribeListenerCertificates,"<p>Describes the default certificate and the certificate list for the specified HTTPS or TLS listener.</p> <p>If the default certificate is also in the certificate list, it appears twice in the results (once with <code>IsDefault</code> set to true and once with <code>IsDefault</code> set to false).</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html#https-listener-certificates"">SSL certificates</a> in the <i>Application Load Balancers Guide</i> or <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/create-tls-listener.html#tls-listener-certificate"">Server certificates</a> in the <i>Network Load Balancers Guide</i>.</p>"""
elbv2,DescribeListeners,"<p>Describes the specified listeners or the listeners for the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer. You must specify either a load balancer or one or more listeners.</p>"
elbv2,DescribeLoadBalancerAttributes,"<p>Describes the attributes for the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html#load-balancer-attributes"">Load balancer attributes</a> in the <i>Application Load Balancers Guide</i> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/network-load-balancers.html#load-balancer-attributes"">Load balancer attributes</a> in the <i>Network Load Balancers Guide</i> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/gateway-load-balancers.html#load-balancer-attributes"">Load balancer attributes</a> in the <i>Gateway Load Balancers Guide</i> </p> </li> </ul>"""
elbv2,DescribeLoadBalancers,<p>Describes the specified load balancers or all of your load balancers.</p>
elbv2,DescribeRules,<p>Describes the specified rules or the rules for the specified listener. You must specify either a listener or one or more rules.</p>
elbv2,DescribeSSLPolicies,"<p>Describes the specified policies or all policies used for SSL negotiation.</p> <p>For more information, see <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html#describe-ssl-policies"">Security policies</a> in the <i>Application Load Balancers Guide</i> or <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/create-tls-listener.html#describe-ssl-policies"">Security policies</a> in the <i>Network Load Balancers Guide</i>.</p>"""
elbv2,DescribeTags,"<p>Describes the tags for the specified Elastic Load Balancing resources. You can describe the tags for one or more Application Load Balancers, Network Load Balancers, Gateway Load Balancers, target groups, listeners, or rules.</p>"
elbv2,DescribeTargetGroupAttributes,"<p>Describes the attributes for the specified target group.</p> <p>For more information, see the following:</p> <ul> <li> <p> <a href=https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html#target-group-attributes"">Target group attributes</a> in the <i>Application Load Balancers Guide</i> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-target-groups.html#target-group-attributes"">Target group attributes</a> in the <i>Network Load Balancers Guide</i> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/target-groups.html#target-group-attributes"">Target group attributes</a> in the <i>Gateway Load Balancers Guide</i> </p> </li> </ul>"""
elbv2,DescribeTargetGroups,"<p>Describes the specified target groups or all of your target groups. By default, all target groups are described. Alternatively, you can specify one of the following to filter the results: the ARN of the load balancer, the names of one or more target groups, or the ARNs of one or more target groups.</p>"
elbv2,DescribeTargetHealth,<p>Describes the health of the specified targets or all of your targets.</p>
elbv2,ModifyListener,"<p>Replaces the specified properties of the specified listener. Any properties that you do not specify remain unchanged.</p> <p>Changing the protocol from HTTPS to HTTP, or from TLS to TCP, removes the security policy and default certificate properties. If you change the protocol from HTTP to HTTPS, or from TCP to TLS, you must add the security policy and default certificate properties.</p> <p>To add an item to a list, remove an item from a list, or update an item in a list, you must provide the entire list. For example, to add an action, specify a list with the current actions plus the new action.</p>"
elbv2,ModifyLoadBalancerAttributes,"<p>Modifies the specified attributes of the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer.</p> <p>If any of the specified attributes can't be modified as requested, the call fails. Any existing attributes that you do not modify retain their current values.</p>"
elbv2,ModifyRule,"<p>Replaces the specified properties of the specified rule. Any properties that you do not specify are unchanged.</p> <p>To add an item to a list, remove an item from a list, or update an item in a list, you must provide the entire list. For example, to add an action, specify a list with the current actions plus the new action.</p>"
elbv2,ModifyTargetGroup,<p>Modifies the health checks used when evaluating the health state of the targets in the specified target group.</p>
elbv2,ModifyTargetGroupAttributes,<p>Modifies the specified attributes of the specified target group.</p>
elbv2,RegisterTargets,"<p>Registers the specified targets with the specified target group.</p> <p>If the target is an EC2 instance, it must be in the <code>running</code> state when you register it.</p> <p>By default, the load balancer routes requests to registered targets using the protocol and port for the target group. Alternatively, you can override the port for a target when you register it. You can register each EC2 instance or IP address with the same target group multiple times using different ports.</p> <p>With a Network Load Balancer, you cannot register instances by instance ID if they have the following instance types: C1, CC1, CC2, CG1, CG2, CR1, CS1, G1, G2, HI1, HS1, M1, M2, M3, and T1. You can register instances of these types by IP address.</p>"
elbv2,RemoveListenerCertificates,<p>Removes the specified certificate from the certificate list for the specified HTTPS or TLS listener.</p>
elbv2,RemoveTags,"<p>Removes the specified tags from the specified Elastic Load Balancing resources. You can remove the tags for one or more Application Load Balancers, Network Load Balancers, Gateway Load Balancers, target groups, listeners, or rules.</p>"
elbv2,SetIpAddressType,<p>Sets the type of IP addresses used by the subnets of the specified Application Load Balancer or Network Load Balancer.</p>
elbv2,SetRulePriorities,<p>Sets the priorities of the specified rules.</p> <p>You can reorder the rules as long as there are no priority conflicts in the new order. Any existing rules that you do not specify retain their current priority.</p>
elbv2,SetSecurityGroups,<p>Associates the specified security groups with the specified Application Load Balancer. The specified security groups override the previously associated security groups.</p> <p>You can't specify a security group for a Network Load Balancer or Gateway Load Balancer.</p>
emr,AddInstanceFleet,"<p>Adds an instance fleet to a running cluster.</p> <note> <p>The instance fleet configuration is available only in Amazon EMR versions 4.8.0 and later, excluding 5.0.x.</p> </note>"
emr,AddInstanceGroups,<p>Adds one or more instance groups to a running cluster.</p>
